Nombre empleado,Sueldo Base,Descuento Salud,Descuento AFP,Sueldo Líquido
Juan Pérez,762122,53348.54000000001,91454.64,617318.82
María García,2459200,172144.00000000003,295104.0,1991952.0
Carlos López,1416497,99154.79000000001,169979.63999999998,1147362.57
Ana Martínez,2018607,141302.49000000002,242232.84,1635071.67
Pedro Rodríguez,741365,51895.55,88963.8,600505.6499999999
Laura Hernández,1758736,123111.52000000002,211048.31999999998,1424576.16
Miguel Sánchez,2272166,159051.62000000002,272659.92,1840454.46
Isabel Gómez,783950,54876.50000000001,94074.0,634999.5
Francisco Díaz,2296897,160782.79,275627.64,1860486.5699999998
Elena Fernández,2012451,140871.57,241494.12,1630085.31
