Nombre empleado,Sueldo Base,Descuento Salud,Descuento AFP,Sueldo Líquido
Juan Pérez,559383,39156.810000000005,67125.95999999999,453100.23
María García,1988063,139164.41,238567.56,1610331.03
Carlos López,1934022,135381.54,232082.63999999998,1566557.82
Ana Martínez,1151376,80596.32,138165.12,932614.5599999999
Pedro Rodríguez,2454148,171790.36000000002,294497.76,1987859.8800000001
Laura Hernández,1469649,102875.43000000001,176357.88,1190415.69
Miguel Sánchez,1687466,118122.62000000001,202495.91999999998,1366847.46
Isabel Gómez,743775,52064.25000000001,89253.0,602457.75
Francisco Díaz,1044004,73080.28000000001,125280.48,845643.24
Elena Fernández,1078530,75497.1,129423.59999999999,873609.3
